label,n,mean_price,price_ci_low,price_ci_high,quality_share,quality_share_ci_low,quality_share_ci_high,quality_n,quality_success
WTP within,191,4.114136125654451,3.8978992146596863,4.336125654450262,0.14659685863874344,0.10341352463772396,0.20371545696040788,191,28
WTA strong,217,4.550230414746543,4.287764976958525,4.819591013824884,0.2626728110599078,0.20861199536432526,0.32499007124931784,217,57
