label,n,mean_price,price_ci_low,price_ci_high,mean_ratio,ratio_ci_low,ratio_ci_high
WTP within,191,4.114136125654451,3.8978992146596863,4.336125654450262,1.770656662864569,1.295496562253821,2.386314121763487
WTA strong,217,4.550230414746543,4.284320276497696,4.827880184331796,2.186462938451594,1.750941077656163,2.6640048545693227
