task_label,point_code_short,n_share,n_attention,share,share_ci_low,share_ci_high,quality_share,quality_share_ci_low,quality_share_ci_high
WTP within,WTPw,400,400,0.2675,0.22648238411831478,0.31294083274713314,0.22125,0.18625,0.25625
Binary Buying,Bin-B,182,182,0.3791208791208791,0.31182078039578043,0.4514182714325168,0.42857142857142855,0.35714285714285715,0.5
Binary Consumption,Bin-Cons,192,192,0.5572916666666666,0.4865929878889996,0.6257427766241849,0.5572916666666666,0.484375,0.6302083333333334
